"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1695",434,"Royal Gin Fizz",2017-09-06 23:07:52,12057,"alcoholic","ordinary drink","highball glass",3,"powdered sugar","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"powdered sugar","powdered sugar"
"1696",434,"Royal Gin Fizz",2017-09-06 23:07:52,12057,"alcoholic","ordinary drink","highball glass",4,"egg","1 whole","1",NA,NA,"whole",1,NA,-0.0731584639822161,"uncommon ingredient","egg"
"1697",434,"Royal Gin Fizz",2017-09-06 23:07:52,12057,"alcoholic","ordinary drink","highball glass",5,"carbonated water","",NA,NA,NA,NA,NA,NA,NA,"carbonated water","carbonated water"
"1698",435,"Ruby Tuesday",2015-09-06 16:30:37,17114,"alcoholic","cocktail","highball glass",1,"gin","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"gin","gin"
"1699",435,"Ruby Tuesday",2015-09-06 16:30:37,17114,"alcoholic","cocktail","highball glass",2,"cranberry juice","5 oz","5",NA,NA,"oz",5,140,-0.01476287130174,"cranberry juice","cranberry juice"
"1700",435,"Ruby Tuesday",2015-09-06 16:30:37,17114,"alcoholic","cocktail","highball glass",3,"grenadine","2 splashes","2",NA,NA,"splashes",2,7,-0.0585595658120971,"grenadine","grenadine"
"1701",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",1,"sugar","1 tsp superfine","1",NA,NA,"tsp superfine",1,NA,-0.0731584639822161,"sugar","sugar"
"1702",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",2,"club soda","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"club soda","club soda"
"1703",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",3,"lemon","1","1",NA,NA,NA,1,1,-0.0731584639822161,"lemon","lemon"
"1704",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",4,"dark rum","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"dark rum","dark rum"
"1705",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",5,"maraschino cherry","1","1",NA,NA,NA,1,1,-0.0731584639822161,"maraschino cherry","maraschino cherry"
"1706",436,"Rum Cobbler",2017-09-02 23:18:03,12067,"alcoholic","ordinary drink","old-fashioned glass",6,"orange","1","1",NA,NA,NA,1,1,-0.0731584639822161,"orange","orange"
"1707",437,"Rum Cooler",2017-09-08 17:37:54,12071,"alcoholic","ordinary drink","collins glass",1,"rum","2 oz light or dark","2",NA,NA,"oz light or dark",2,56,-0.0585595658120971,"rum","rum"
"1708",437,"Rum Cooler",2017-09-08 17:37:54,12071,"alcoholic","ordinary drink","collins glass",2,"lemon-lime soda","4 oz","4",NA,NA,"oz",4,112,-0.029361769471859,"uncommon ingredient","lemon-lime soda"
"1709",437,"Rum Cooler",2017-09-08 17:37:54,12071,"alcoholic","ordinary drink","collins glass",3,"lemon","1","1",NA,NA,NA,1,1,-0.0731584639822161,"lemon","lemon"
"1710",438,"Rum Milk Punch",2017-09-08 17:40:10,12087,"alcoholic","ordinary drink","collins glass",1,"light rum","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"light rum","light rum"
"1711",438,"Rum Milk Punch",2017-09-08 17:40:10,12087,"alcoholic","ordinary drink","collins glass",2,"milk","1 cup","1",NA,NA,"cup",1,250,-0.0731584639822161,"milk","milk"
"1712",438,"Rum Milk Punch",2017-09-08 17:40:10,12087,"alcoholic","ordinary drink","collins glass",3,"powdered sugar","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"powdered sugar","powdered sugar"
"1713",438,"Rum Milk Punch",2017-09-08 17:40:10,12087,"alcoholic","ordinary drink","collins glass",4,"nutmeg","",NA,NA,NA,NA,NA,NA,NA,"nutmeg","nutmeg"
"1714",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",1,"light rum","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"light rum","light rum"
"1715",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",2,"151 proof rum","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"151 proof rum","151 proof rum"
"1716",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",3,"powdered sugar","1/2 tsp","1/2",NA,NA,"tsp",0.5,NA,-0.0804579130672757,"powdered sugar","powdered sugar"
"1717",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",4,"bitters","1 dash","1",NA,NA,"dash",1,0.6,-0.0731584639822161,"bitters","bitters"
"1718",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",5,"water","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"water","water"
"1719",439,"Rum Old-fashioned",2017-09-07 22:44:09,12089,"alcoholic","ordinary drink","old-fashioned glass",6,"lime peel","twist of",NA,NA,NA,"twist of",NA,NA,NA,"uncommon ingredient","lime peel"
"1720",440,"Rum Punch",2015-09-06 16:48:58,14978,"alcoholic","punch / party drink","punch bowl",1,"rum","mikey bottle",NA,NA,NA,"mikey bottle",NA,NA,NA,"rum","rum"
"1721",440,"Rum Punch",2015-09-06 16:48:58,14978,"alcoholic","punch / party drink","punch bowl",2,"ginger ale","large bottle",NA,NA,NA,"large bottle",NA,NA,NA,"ginger ale","ginger ale"
"1722",440,"Rum Punch",2015-09-06 16:48:58,14978,"alcoholic","punch / party drink","punch bowl",3,"fruit punch","355 ml frozen","355",NA,NA,"ml frozen",355,355,5.09485148823993,"uncommon ingredient","fruit punch"
"1723",440,"Rum Punch",2015-09-06 16:48:58,14978,"alcoholic","punch / party drink","punch bowl",4,"orange juice","355 ml frozen","355",NA,NA,"ml frozen",355,355,5.09485148823993,"orange juice","orange juice"
"1724",440,"Rum Punch",2015-09-06 16:48:58,14978,"alcoholic","punch / party drink","punch bowl",5,"ice","crushed",NA,NA,NA,"crushed",NA,NA,NA,"ice","ice"
"1725",441,"Rum Runner",2017-09-08 17:40:57,16250,"alcoholic","punch / party drink","cocktail glass",1,"malibu rum","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"uncommon ingredient","malibu rum"
"1726",441,"Rum Runner",2017-09-08 17:40:57,16250,"alcoholic","punch / party drink","cocktail glass",2,"blackberry brandy","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","blackberry brandy"
"1727",441,"Rum Runner",2017-09-08 17:40:57,16250,"alcoholic","punch / party drink","cocktail glass",3,"orange juice","3-4 oz","3",NA,"3-4","oz",3,84,-0.0439606676419781,"orange juice","orange juice"
"1728",441,"Rum Runner",2017-09-08 17:40:57,16250,"alcoholic","punch / party drink","cocktail glass",4,"pineapple juice","3-4 oz","3",NA,"3-4","oz",3,84,-0.0439606676419781,"pineapple juice","pineapple juice"
"1729",441,"Rum Runner",2017-09-08 17:40:57,16250,"alcoholic","punch / party drink","cocktail glass",5,"cranberry juice","3-4 oz","3",NA,"3-4","oz",3,84,-0.0439606676419781,"cranberry juice","cranberry juice"
"1730",442,"Rum Screwdriver",2017-09-08 16:59:32,12091,"alcoholic","ordinary drink","highball glass",1,"light rum","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"light rum","light rum"
"1731",442,"Rum Screwdriver",2017-09-08 16:59:32,12091,"alcoholic","ordinary drink","highball glass",2,"orange juice","5 oz","5",NA,NA,"oz",5,140,-0.01476287130174,"orange juice","orange juice"
"1732",443,"Rum Sour",2017-09-08 16:58:44,12093,"alcoholic","ordinary drink","whiskey sour glass",1,"light rum","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"light rum","light rum"
"1733",443,"Rum Sour",2017-09-08 16:58:44,12093,"alcoholic","ordinary drink","whiskey sour glass",2,"lemon juice","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"lemon juice","lemon juice"
"1734",443,"Rum Sour",2017-09-08 16:58:44,12093,"alcoholic","ordinary drink","whiskey sour glass",3,"sugar","1/2 tsp superfine","1/2",NA,NA,"tsp superfine",0.5,NA,-0.0804579130672757,"sugar","sugar"
"1735",443,"Rum Sour",2017-09-08 16:58:44,12093,"alcoholic","ordinary drink","whiskey sour glass",4,"orange","1","1",NA,NA,NA,1,1,-0.0731584639822161,"orange","orange"
"1736",443,"Rum Sour",2017-09-08 16:58:44,12093,"alcoholic","ordinary drink","whiskey sour glass",5,"maraschino cherry","1","1",NA,NA,NA,1,1,-0.0731584639822161,"maraschino cherry","maraschino cherry"
"1737",444,"Rum Toddy",2017-09-08 16:58:06,12097,"alcoholic","ordinary drink","old-fashioned glass",1,"rum","2 oz light or dark","2",NA,NA,"oz light or dark",2,56,-0.0585595658120971,"rum","rum"
"1738",444,"Rum Toddy",2017-09-08 16:58:06,12097,"alcoholic","ordinary drink","old-fashioned glass",2,"powdered sugar","2 tsp","2",NA,NA,"tsp",2,NA,-0.0585595658120971,"powdered sugar","powdered sugar"
